"Name","Symbol","Exchange"
"Reliance Power Ltd.","RPOWER.NS","NSE"
"Route Mobile Ltd.","ROUTE.NS","NSE"
"SBFC Finance Ltd.","SBFC.NS","NSE"
"SBI Cards and Payment Services Ltd.","SBICARD.NS","NSE"
"SBI Life Insurance Company Ltd.","SBILIFE.NS","NSE"
"SJVN Ltd.","SJVN.NS","NSE"
"SKF India Ltd.","SKFINDIA.NS","NSE"
"SRF Ltd.","SRF.NS","NSE"
"Sagility India Ltd.","SAGILITY.NS","NSE"
"Sai Life Sciences Ltd.","SAILIFE.NS","NSE"
"Sammaan Capital Ltd.","SAMMAANCAP.NS","NSE"
"Samvardhana Motherson International Ltd.","MOTHERSON.NS","NSE"
"Sapphire Foods India Ltd.","SAPPHIRE.NS","NSE"
"Sarda Energy and Minerals Ltd.","SARDAEN.NS","NSE"
"Saregama India Ltd","SAREGAMA.NS","NSE"
"Schaeffler India Ltd.","SCHAEFFLER.NS","NSE"
"Schneider Electric Infrastructure Ltd.","SCHNEIDER.NS","NSE"
"Shipping Corporation of India Ltd.","SCI.NS","NSE"
"Shree Cement Ltd.","SHREECEM.NS","NSE"
"Shree Renuka Sugars Ltd.","RENUKA.NS","NSE"
"Shriram Finance Ltd.","SHRIRAMFIN.NS","NSE"
"Shyam Metalics and Energy Ltd.","SHYAMMETL.NS","NSE"
"Siemens Ltd.","SIEMENS.NS","NSE"
"Signatureglobal (India) Ltd.","SIGNATURE.NS","NSE"
"Sobha Ltd.","SOBHA.NS","NSE"
"Solar Industries India Ltd.","SOLARINDS.NS","NSE"
"Sona BLW Precision Forgings Ltd.","SONACOMS.NS","NSE"
"Sonata Software Ltd.","SONATSOFTW.NS","NSE"
"Star Health and Allied Insurance Company Ltd.","STARHEALTH.NS","NSE"
"State Bank of India","SBIN.NS","NSE"
"Steel Authority of India Ltd.","SAIL.NS","NSE"
"Sterling and Wilson Renewable Energy Ltd.","SWSOLAR.NS","NSE"
"Sumitomo Chemical India Ltd.","SUMICHEM.NS","NSE"
"Sun Pharmaceutical Industries Ltd.","SUNPHARMA.NS","NSE"
"Sun TV Network Ltd.","SUNTV.NS","NSE"
"Sundaram Finance Ltd.","SUNDARMFIN.NS","NSE"
"Sundram Fasteners Ltd.","SUNDRMFAST.NS","NSE"
"Supreme Industries Ltd.","SUPREMEIND.NS","NSE"
"Suzlon Energy Ltd.","SUZLON.NS","NSE"
"Swan Energy Ltd.","SWANENERGY.NS","NSE"
"Swiggy Ltd.","SWIGGY.NS","NSE"
"Syngene International Ltd.","SYNGENE.NS","NSE"
"Syrma SGS Technology Ltd.","SYRMA.NS","NSE"
"TBO Tek Ltd.","TBOTEK.NS","NSE"
"TVS Motor Company Ltd.","TVSMOTOR.NS","NSE"
"Tanla Platforms Ltd.","TANLA.NS","NSE"
"Tata Chemicals Ltd.","TATACHEM.NS","NSE"
"Tata Communications Ltd.","TATACOMM.NS","NSE"
"Tata Consultancy Services Ltd.","TCS.NS","NSE"
"Tata Consumer Products Ltd.","TATACONSUM.NS","NSE"
"Tata Elxsi Ltd.","TATAELXSI.NS","NSE"
"Tata Investment Corporation Ltd.","TATAINVEST.NS","NSE"
